Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_1375206889,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,43,0,0,0
bodyId_1375224269,0,0,0,0,567,0,0,0,0,0,0,114,0,0,0,0,0,0,0
bodyId_1375504297,0,0,0,0,0,0,9,0,0,0,0,0,0,0,67,0,0,0,0
bodyId_1375504427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,160,0,0
bodyId_1375845363,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612
bodyId_1381311623,0,0,0,0,0,23,31,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1381656679,0,0,0,0,0,53,11,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1381997776,1169,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1382308349,1109,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1382343196,0,22,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1383383062,0,0,269,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1386780502,0,0,0,0,0,23,0,0,0,0,0,0,0,0,102,0,0,0,0
bodyId_1405231475,0,780,4326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1407939124,0,0,0,0,37,0,0,0,0,0,0,5,0,0,0,0,0,0,0
bodyId_1407947423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,0
bodyId_1409627117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,17,0
bodyId_1413744837,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
bodyId_1414073219,0,0,0,0,0,0,0,0,0,0,0,0,0,46,277,0,0,0,0
bodyId_1414366899,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,316
bodyId_1414776617,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
bodyId_1417768398,0,200,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0
bodyId_1434949542,0,0,635,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1437306571,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,47,0
bodyId_1437652965,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,64,0
bodyId_1439301519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,0
bodyId_1439979494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,73,0,0
bodyId_1446062404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,24,0,0
bodyId_1447103034,0,0,37,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0
bodyId_1448452947,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,98,0,0,0
bodyId_1449486007,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984
bodyId_1449848294,16,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
bodyId_1450875637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,0,0,0
bodyId_1466998977,0,0,646,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1467340016,0,0,0,0,54,0,0,0,0,0,0,11,0,0,0,0,0,0,0
bodyId_1468630778,0,0,0,0,160,0,0,0,0,0,0,79,0,0,0,0,0,0,0
bodyId_1468782618,0,0,0,0,61,0,0,0,0,0,0,41,0,0,0,0,0,0,0
bodyId_1469049500,0,0,296,0,0,0,0,0,0,0,0,0,968,0,0,0,0,0,0
bodyId_1471337584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,153,0,0
bodyId_1472711015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,154,0,0
bodyId_1473379892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,54,0,0
bodyId_1474062225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,196,0,0
bodyId_1474446666,0,0,0,0,92,0,0,0,0,0,0,118,0,0,0,0,0,0,0
bodyId_1474757586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,20,0,0
bodyId_1475188631,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
bodyId_1477161691,0,0,0,0,0,0,0,0,0,10,0,0,0,0,53,0,0,0,0
bodyId_1477166538,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
bodyId_1477434062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,114,0,0
bodyId_1478142566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,152,0,0
bodyId_1480222035,0,157,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0
bodyId_1481547572,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,30
bodyId_1498720407,0,0,0,244,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1499048899,0,0,0,0,5,0,0,0,0,0,0,36,0,0,0,0,0,0,0
bodyId_1500063929,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,141,0
bodyId_1501790467,0,0,40,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1504406220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,16,0,0
bodyId_1504428248,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0
bodyId_1507109459,0,0,0,0,0,0,0,0,0,26,0,0,0,0,67,0,0,0,0
bodyId_1507446255,0,0,0,0,0,0,0,0,0,30,0,0,0,0,60,0,0,0,0
bodyId_1507812837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,0,0
bodyId_1508123633,983,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0
bodyId_1508128473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,80,0,0,0
bodyId_1509146177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,16,0,0
bodyId_1511235746,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,89,0,0,0
bodyId_1511593574,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,41,0,0
bodyId_1533782991,0,0,0,0,632,0,0,0,0,0,0,153,0,0,0,0,0,0,0
bodyId_1534119934,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,30,0,0,0
bodyId_1534448605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,50,0,0
bodyId_1534798033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,117,0,0,0
bodyId_1534798522,0,0,0,0,23,0,0,0,0,0,0,42,0,0,0,0,0,0,0
bodyId_1535139804,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,85,0,0,0
bodyId_1535186205,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,13,0,0,0
bodyId_1535488185,0,0,0,0,208,0,0,0,0,0,0,133,0,0,0,0,0,0,0
bodyId_1535813419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,95,0,0
bodyId_1536447127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,103,0,0,0
bodyId_1537130680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,98,0,0
bodyId_1539189146,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,32,0,0,0
bodyId_1539508448,0,14,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
bodyId_1540241926,0,303,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0
bodyId_1563099587,0,0,0,0,28,0,0,0,0,0,0,20,0,0,0,0,0,0,0
bodyId_1564874708,0,0,0,0,187,0,0,0,0,0,0,114,0,0,0,0,0,0,0
bodyId_1566178485,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,42,0,0,0
bodyId_1566506400,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,64,0,0,0
bodyId_1570249860,0,0,59,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
bodyId_1570565128,0,0,292,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0
bodyId_1571246774,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,117,0,0,0
bodyId_1573612290,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,1448
bodyId_1597204590,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,147,0,0,0
bodyId_1597287219,0,0,0,0,748,0,0,0,0,0,0,368,0,0,0,0,0,0,0
bodyId_1599285725,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
bodyId_1599902570,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,14,0,0,0
bodyId_1600239500,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,477
bodyId_1601227987,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
bodyId_1601603665,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,447
bodyId_1601711357,0,660,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1603260613,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,1061
bodyId_1625252129,0,0,0,0,159,0,0,0,0,0,0,68,0,0,0,0,0,0,0
bodyId_1625537295,0,0,0,0,128,0,0,0,0,0,0,37,0,0,0,0,0,0,0
bodyId_1625550248,0,0,0,0,253,0,0,0,0,0,0,38,0,0,0,0,0,0,0
bodyId_1627277351,0,0,0,0,115,0,0,0,0,0,0,24,0,0,0,0,0,0,0
bodyId_1628135911,0,0,0,0,7,0,0,0,0,0,0,42,0,0,0,0,0,0,0
bodyId_1628973439,0,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1630281172,0,0,0,0,0,0,0,0,0,0,0,0,111,17,0,0,0,0,0
bodyId_1630342162,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277
bodyId_1630678904,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,86
bodyId_1632309827,0,0,151,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0
bodyId_1633337773,0,0,83,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0
bodyId_1657262624,0,0,0,0,602,0,0,0,0,0,0,196,0,0,0,0,0,0,0
bodyId_1658963980,0,0,400,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0
bodyId_1660267880,0,0,0,0,0,0,0,0,0,0,0,0,67,17,0,0,0,0,0
bodyId_1662947570,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,67,0,0,0
bodyId_1663639752,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
bodyId_1663768979,0,0,0,0,26,0,0,0,0,0,0,53,0,0,0,0,0,0,0
bodyId_1690694192,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
bodyId_1690698128,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
bodyId_1691298247,0,0,39,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0
bodyId_1691310419,0,0,310,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0
bodyId_1691405824,0,17,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1691638475,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,66
bodyId_1692304756,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,226
bodyId_1717985153,0,0,0,0,252,0,0,0,0,0,0,35,0,0,0,0,0,0,0
bodyId_1718671665,0,0,0,0,62,0,0,0,0,0,0,14,0,0,0,0,0,0,0
bodyId_1720105182,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
bodyId_1720333334,0,0,0,243,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1721369735,0,0,10,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
bodyId_1721862006,0,0,0,0,8,0,0,0,0,0,0,38,0,0,0,0,0,0,0
bodyId_1723732230,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,39
bodyId_1728104437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,127,0,0
bodyId_1749374615,0,0,0,0,605,0,0,0,0,0,0,212,0,0,0,0,0,0,0
bodyId_1750419433,0,0,0,0,252,0,0,0,0,0,0,238,0,0,0,0,0,0,0
bodyId_1752067852,0,0,7,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1752703194,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,32
bodyId_1757477299,0,0,12,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
bodyId_1812696401,0,0,0,0,44,0,0,0,0,0,0,0,9,0,0,0,0,0,0
bodyId_1848506334,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338
bodyId_1875284107,0,0,0,0,232,0,0,0,0,0,28,0,0,0,0,0,0,0,0
bodyId_1879226079,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421
bodyId_2307027729,0,1462,2277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_2349505897,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0
bodyId_5812980291,0,120,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_5812981242,0,0,0,0,0,0,0,14,26,0,0,0,0,0,0,0,0,0,0
bodyId_5812982994,0,0,0,0,0,37,0,0,0,6,0,0,0,0,0,0,0,0,0
bodyId_5812983517,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,40,0,0,0
bodyId_5812989815,0,0,0,0,461,0,0,0,0,0,0,142,0,0,0,0,0,0,0
bodyId_5812989822,0,0,0,0,12,0,0,0,0,0,0,37,0,0,0,0,0,0,0
bodyId_5812992706,0,38,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_5812994205,0,0,169,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0
bodyId_5813014382,0,0,0,0,54,0,0,0,0,0,0,12,0,0,0,0,0,0,0
bodyId_5813016762,0,0,0,0,293,0,0,0,0,0,0,275,0,0,0,0,0,0,0
bodyId_5813017315,1346,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_5813022591,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,35,0
bodyId_5813022794,0,0,0,0,224,0,0,0,0,0,41,0,0,0,0,0,0,0,0
