Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_1344810847,0,0,0,0,0,10,2,19,0,1,0,0,0,0,2,62,13,0,0
bodyId_1344858936,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,1,0
bodyId_1345471376,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,8,0
bodyId_1348653495,0,0,0,0,14,0,0,0,0,0,0,19,0,0,0,0,0,0,0
bodyId_1350985189,0,0,0,41,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1351644908,0,0,0,0,0,54,2,1,0,0,0,0,0,0,35,0,1,0,0
bodyId_1351667174,0,0,0,0,0,22,54,1,0,1,0,0,0,1,3,0,0,4,0
bodyId_1352331062,0,1,0,0,0,0,24,0,2,9,0,0,0,3,62,3,66,0,0
bodyId_1352335144,0,67,4,0,0,0,0,0,0,0,0,0,60,20,0,36,3,0,0
bodyId_1352335943,0,0,0,0,0,7,37,2,0,0,0,0,0,0,46,2,6,0,0
bodyId_1352684733,0,77,0,99,0,0,1,0,0,0,0,2,2,8,0,3,0,0,0
bodyId_1353031856,0,0,0,36,0,0,1,0,0,1,0,1,0,0,0,43,0,0,0
bodyId_1354394414,184,69,41,86,0,0,3,0,0,0,0,0,6,0,0,43,0,0,221
bodyId_1355750029,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,0,12,0,0
bodyId_1356061127,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,54,0,0,0
bodyId_1357084643,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,11,0,0,0
bodyId_1357097532,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,42,0,0,0
bodyId_1374554946,0,0,0,0,29,0,0,0,0,0,0,18,0,0,0,0,0,0,0
bodyId_1374900967,0,0,0,6,27,0,0,0,0,0,6,26,0,0,0,0,0,2,0
bodyId_1375206889,0,0,0,0,0,0,0,0,0,0,7,0,37,0,0,31,0,0,1
bodyId_1375224269,0,0,24,0,37,0,0,0,0,0,0,17,0,0,0,0,0,0,0
bodyId_1375504297,0,0,0,0,0,0,7,1,0,1,0,0,0,0,39,0,2,0,0
bodyId_1375504427,0,0,0,0,0,0,1,3,0,1,0,0,0,0,32,0,59,0,0
bodyId_1375845363,0,1,48,0,18,0,0,0,0,0,0,7,1,1,0,35,20,0,195
bodyId_1381311623,0,0,0,0,0,13,19,3,1,3,0,0,2,0,0,0,0,0,0
bodyId_1381656679,0,0,0,0,0,29,9,0,0,4,0,0,0,0,0,0,0,0,0
bodyId_1381997776,179,78,2,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1382308349,178,75,6,0,0,17,8,0,0,0,0,0,0,6,0,0,0,0,0
bodyId_1382343196,0,16,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0
bodyId_1383383062,0,41,50,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bodyId_1386780502,0,0,0,0,0,16,2,0,0,1,0,0,0,2,44,0,1,0,0
bodyId_1405231475,0,84,71,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
bodyId_1407939124,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,2,2,0
bodyId_1407947423,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,35,13,0,0
bodyId_1409627117,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23,2,9,0
